21:01:40.071 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=66, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:01:45.823 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=67, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:01:50.828 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=68, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:01:55.832 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=69, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:01:56.126 [Thread-92] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
21:01:58.657 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：org.springframework.security.authentication.dao.DaoAuthenticationProvider@a7134a6增强版==============
21:01:58.661 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:01:58.662 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法authenticationProvider已经执行完==============
21:01:58.722 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:01:58.722 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: authenticationManager，属于com.example.lyc.springboot.demo.config.SecurityConfig包==============
21:01:58.722 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:01:58.723 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法authenticationManager执行完毕，返回参数为：org.springframework.security.authentication.ProviderManager@7e880a84==============
21:01:58.723 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：org.springframework.security.authentication.ProviderManager@7e880a84增强版==============
21:01:58.723 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:01:58.723 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法authenticationManager已经执行完==============
21:01:58.756 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:01:58.757 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: topic，属于com.example.lyc.springboot.demo.config.ActiveMqConfig包==============
21:01:58.757 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:01:58.757 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法topic执行完毕，返回参数为：topic://activemq.topic==============
21:01:58.757 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：topic://activemq.topic增强版==============
21:01:58.757 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:01:58.757 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法topic已经执行完==============
21:01:58.762 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:01:58.762 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: modelMapper，属于com.example.lyc.springboot.demo.config.AppConfig包==============
21:01:58.763 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:01:58.763 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法modelMapper执行完毕，返回参数为：org.modelmapper.ModelMapper@1feb372c==============
21:01:58.763 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：org.modelmapper.ModelMapper@1feb372c增强版==============
21:01:58.763 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:01:58.763 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法modelMapper已经执行完==============
21:01:59.170 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:01:59.170 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: filterChain，属于com.example.lyc.springboot.demo.config.SecurityConfig包==============
21:01:59.170 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:01:59.187 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:01:59.187 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: registerWebSocketHandlers，属于com.example.lyc.springboot.demo.config.WebSocketConfig包==============
21:01:59.187 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:01:59.188 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法registerWebSocketHandlers执行完毕，但返回参数为 null==============
21:01:59.189 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:01:59.189 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法registerWebSocketHandlers已经执行完==============
21:01:59.298 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法filterChain执行完毕，返回参数为：DefaultSecurityFilterChain [RequestMatcher=any request, Filters=[org.springframework.security.web.session.DisableEncodeUrlFilter@2d220a70, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@158c2de6, org.springframework.security.web.context.SecurityContextHolderFilter@7066e4e5, org.springframework.security.web.header.HeaderWriterFilter@41356bb4, org.springframework.security.web.authentication.logout.LogoutFilter@3f9e56bb, com.example.lyc.springboot.demo.security.JwtAuthenticationFilter@353cdeb9, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@49e84714, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5fa157b7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@129a75ad, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3ee7ffed, org.springframework.security.web.access.ExceptionTranslationFilter@13cbd7b1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1eb2b43c]]==============
21:01:59.298 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：DefaultSecurityFilterChain [RequestMatcher=any request, Filters=[org.springframework.security.web.session.DisableEncodeUrlFilter@2d220a70, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@158c2de6, org.springframework.security.web.context.SecurityContextHolderFilter@7066e4e5, org.springframework.security.web.header.HeaderWriterFilter@41356bb4, org.springframework.security.web.authentication.logout.LogoutFilter@3f9e56bb, com.example.lyc.springboot.demo.security.JwtAuthenticationFilter@353cdeb9, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@49e84714, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5fa157b7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@129a75ad, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3ee7ffed, org.springframework.security.web.access.ExceptionTranslationFilter@13cbd7b1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1eb2b43c]]增强版==============
21:01:59.299 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:01:59.299 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法filterChain已经执行完==============
21:01:59.355 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:01:59.355 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: publicApi，属于com.example.lyc.springboot.demo.config.SwaggerConfig包==============
21:01:59.355 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:01:59.356 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法publicApi执行完毕，返回参数为：org.springdoc.core.models.GroupedOpenApi@6e17d11e==============
21:01:59.356 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：org.springdoc.core.models.GroupedOpenApi@6e17d11e增强版==============
21:01:59.356 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:01:59.356 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法publicApi已经执行完==============
21:01:59.358 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:01:59.358 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: privateApi，属于com.example.lyc.springboot.demo.config.SwaggerConfig包==============
21:01:59.364 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:01:59.365 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法privateApi执行完毕，返回参数为：org.springdoc.core.models.GroupedOpenApi@7bc44e85==============
21:01:59.365 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：org.springdoc.core.models.GroupedOpenApi@7bc44e85增强版==============
21:01:59.365 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:01:59.365 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法privateApi已经执行完==============
21:01:59.891 [restartedMain] INFO  c.c.f.a.s.a.SpringValueProcessor - Monitoring key: spring.mvc.servlet.path, beanName: swaggerWelcome, field: org.springdoc.webmvc.ui.SwaggerWelcomeWebMvc.mvcServletPath
21:02:00.704 [restartedMain] INFO  c.e.lyc.springboot.demo.Application - Started Application in 3.75 seconds (process running for 76050.866)
21:02:00.708 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:02:00.708 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: onApplicationEvent，属于com.example.lyc.springboot.demo.listener.MyListener包==============
21:02:00.708 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:02:00.708 [restartedMain] DEBUG c.e.l.s.demo.listener.MyListener - 应用已启动完成
21:02:00.708 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法onApplicationEvent执行完毕，但返回参数为 null==============
21:02:00.709 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:02:00.709 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法onApplicationEvent已经执行完==============
21:02:05.704 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:02:10.707 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=1, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:02:15.712 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=2, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:02:20.715 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=3, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:02:25.722 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=4, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:02:30.118 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
21:02:30.158 [restartedMain] INFO  c.c.f.f.i.p.DefaultApplicationProvider - App ID is set to platform by app.id property from System Property
21:02:30.158 [restartedMain] WARN  c.c.f.f.i.p.DefaultApplicationProvider - app.label is not available from System Property and /META-INF/app.properties. It is set to null
21:02:30.158 [restartedMain] INFO  c.c.f.f.i.p.DefaultServerProvider - Environment is set to null. Because it is not available in either (1) JVM system property 'env', (2) OS env variable 'ENV' nor (3) property 'env' from the properties InputStream.
21:02:30.158 [restartedMain] INFO  c.c.f.a.i.DefaultMetaServerProvider - Located meta services from apollo.meta configuration: http://meta.apollo.xxx.cn!
21:02:30.158 [restartedMain] INFO  c.c.f.apollo.core.MetaDomainConsts - Located meta server address http://meta.apollo.xxx.cn for env UNKNOWN from com.ctrip.framework.apollo.internals.DefaultMetaServerProvider
21:02:30.159 [restartedMain] WARN  c.c.f.a.i.LocalFileConfigRepository - Sync config from upstream repository class com.ctrip.framework.apollo.internals.RemoteConfigRepository failed, reason: Get config services failed from http://meta.apollo.xxx.cn/services/config?appId=platform&ip=10.224.0.20 [Cause: Could not complete get operation [Cause: meta.apollo.xxx.cn]]
21:02:30.159 [restartedMain] WARN  c.c.f.a.i.LocalFileConfigRepository - Sync config from upstream repository class com.ctrip.framework.apollo.internals.RemoteConfigRepository failed, reason: Get config services failed from http://meta.apollo.xxx.cn/services/config?appId=platform&ip=10.224.0.20 [Cause: Could not complete get operation [Cause: meta.apollo.xxx.cn]]
21:02:30.159 [restartedMain] WARN  c.c.f.apollo.internals.DefaultConfig - Init Apollo Local Config failed - namespace: application, reason: Load config from local config failed! [Cause: Cannot read from local cache file /Users/liyinchi/workspace/java/lyc.springboot.demo/./config/platform/config-cache/platform+default+application.properties].
21:02:30.159 [restartedMain] WARN  c.c.f.a.i.LocalFileConfigRepository - Sync config from upstream repository class com.ctrip.framework.apollo.internals.RemoteConfigRepository failed, reason: Get config services failed from http://meta.apollo.xxx.cn/services/config?appId=platform&ip=10.224.0.20 [Cause: Could not complete get operation [Cause: meta.apollo.xxx.cn]]
21:02:30.159 [restartedMain] WARN  c.c.f.a.i.LocalFileConfigRepository - Sync config from upstream repository class com.ctrip.framework.apollo.internals.RemoteConfigRepository failed, reason: Get config services failed from http://meta.apollo.xxx.cn/services/config?appId=platform&ip=10.224.0.20 [Cause: Could not complete get operation [Cause: meta.apollo.xxx.cn]]
21:02:30.159 [restartedMain] WARN  c.c.f.apollo.internals.DefaultConfig - Init Apollo Local Config failed - namespace: sensitive-config, reason: Load config from local config failed! [Cause: Cannot read from local cache file /Users/liyinchi/workspace/java/lyc.springboot.demo/./config/platform/config-cache/platform+default+sensitive-config.properties].
21:02:30.159 [restartedMain] WARN  c.c.f.a.i.LocalFileConfigRepository - Sync config from upstream repository class com.ctrip.framework.apollo.internals.RemoteConfigRepository failed, reason: Get config services failed from http://meta.apollo.xxx.cn/services/config?appId=platform&ip=10.224.0.20 [Cause: Could not complete get operation [Cause: meta.apollo.xxx.cn]]
21:02:30.159 [restartedMain] WARN  c.c.f.a.i.LocalFileConfigRepository - Sync config from upstream repository class com.ctrip.framework.apollo.internals.RemoteConfigRepository failed, reason: Get config services failed from http://meta.apollo.xxx.cn/services/config?appId=platform&ip=10.224.0.20 [Cause: Could not complete get operation [Cause: meta.apollo.xxx.cn]]
21:02:30.160 [restartedMain] WARN  c.c.f.apollo.internals.DefaultConfig - Init Apollo Local Config failed - namespace: message, reason: Load config from local config failed! [Cause: Cannot read from local cache file /Users/liyinchi/workspace/java/lyc.springboot.demo/./config/platform/config-cache/platform+default+message.properties].
21:02:30.160 [restartedMain] WARN  c.c.f.apollo.internals.DefaultConfig - Could not load config for namespace application from Apollo, please check whether the configs are released in Apollo! Return default value now!
21:02:30.160 [restartedMain] WARN  c.c.f.apollo.internals.DefaultConfig - Could not load config for namespace sensitive-config from Apollo, please check whether the configs are released in Apollo! Return default value now!
21:02:30.160 [restartedMain] WARN  c.c.f.apollo.internals.DefaultConfig - Could not load config for namespace message from Apollo, please check whether the configs are released in Apollo! Return default value now!
21:02:30.173 [restartedMain] INFO  c.e.lyc.springboot.demo.Application - Starting Application using Java 17.0.1 with PID 4955 (/Users/liyinchi/workspace/java/lyc.springboot.demo/target/classes started by liyinchi in /Users/liyinchi/workspace/java/lyc.springboot.demo)
21:02:30.174 [restartedMain] DEBUG c.e.lyc.springboot.demo.Application - Running with Spring Boot v3.1.2, Spring v6.0.11
21:02:30.174 [restartedMain] INFO  c.e.lyc.springboot.demo.Application - The following 1 profile is active: "dev"
21:02:30.726 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=5, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:02:33.483 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
21:02:33.485 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
21:02:33.486 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
21:02:33.628 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
21:02:34.010 [Apollo-RemoteConfigLongPollService-1] WARN  c.c.f.a.i.RemoteConfigLongPollService - Long polling failed, will retry in 16 seconds. appId: platform, cluster: default, namespaces: application+message+sensitive-config, long polling url: null, reason: Get config services failed from http://meta.apollo.xxx.cn/services/config?appId=platform&ip=10.224.0.20 [Cause: Could not complete get operation [Cause: meta.apollo.xxx.cn]]
21:02:34.223 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:02:34.225 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: queue，属于com.example.lyc.springboot.demo.config.ActiveMqConfig包==============
21:02:34.226 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
